iter	Passed	Remaining
0	0	96
1	1	94
2	2	94
3	3	88
4	4	87
5	5	85
6	6	87
7	7	86
8	8	85
9	9	83
10	10	82
11	11	81
12	12	80
13	12	79
14	13	78
15	14	76
16	15	74
17	16	73
18	16	72
19	17	71
20	18	69
21	19	67
22	19	66
23	20	65
24	21	63
25	21	62
26	22	61
27	23	59
28	23	58
29	24	57
30	25	56
31	25	54
32	26	53
33	26	52
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	36	31
54	37	30
55	37	29
56	38	28
57	38	27
58	38	27
59	39	26
60	39	25
61	40	24
62	40	24
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
